YYYYQQ	AK	AL	AR	AZ	CA	CO	CT	DC	DE	FL	GA	GU	HI	IA	ID	IL	IN	KS	KY	LA	MA	MD	ME	MI	MN	MO	MS	MT	NC	ND	NE	NH	NJ	NM	NV	NY	OH	OK	OR	PA	PR	RI	SC	SD	TN	TX	UT	VA	VI	VT	WA	WI	WV	WY	ZZ
198503	143.73	127.92	124.37	127.51	129.37	127.28	160.44	111.82	144.19	128.86	135.07	128.06	116.72	103.08	113.29	116.3	111.34	110.25	115.15	113.18	218.77	130.75	157.51	102.69	115.89	125.54	122.59	115.4	132.98	113	113.09	159.48	155.12	128.46	118.49	191.5	110.51	116.97	96.99	126.19	128.06	142.53	131.43	113.25	124.03	128.96	116.59	131.58	128.06	136.33	111.83	110.64	95.12	94.15	128.06
198504	140.12	128.93	124.74	128.78	130.77	124.83	169.13	114.02	146.57	130.64	137.77	129.47	117.51	102.02	110.55	118.25	113.01	110.88	117.35	110.69	233.15	130.96	166.15	103.82	119.95	126.6	122.42	117.71	134.76	108.89	114.22	169.47	161.94	128.54	118.36	198.95	111.37	113.73	97.14	127.88	129.47	151.41	131.73	113.19	125.6	127.88	115.42	132.35	129.47	139.28	112.27	110.77	90.49	94.5	129.47
198601	140.88	129.88	126.13	131.4	132.44	129.35	174.97	114.27	152.09	132.02	140.04	131.97	119.73	103.19	112.67	119.97	114.26	113.05	118.96	113.63	242.55	133.62	168.75	105.41	121.31	127.51	123.66	116.8	135.93	113.19	115.48	177.71	168.05	130.45	120.94	207.09	112.86	115.94	97.92	130.87	131.97	155.36	134.97	117.45	128.31	130.6	119.46	134.68	131.97	144.31	113.76	112.29	98.47	98	131.97
198602	143.2	132.35	128.99	135.35	135	130.19	185.89	119.54	155.42	135.44	141.85	134.72	119.81	103.8	111.43	122.66	116.27	113.51	121.07	114.35	254.61	137.48	174.41	108.8	120.7	129.44	125.51	114.15	138.52	112.31	115.66	185.99	178.17	133.05	123.86	217.16	114.38	116.96	98.66	134.58	134.72	163.07	136.02	118.37	130.33	132.76	119.03	137.09	134.72	146.5	114.34	113.56	98.57	98.25	134.72
198603	138.66	134.14	126.8	135.39	137.93	129.26	199.88	122.98	160.23	136.29	143.62	136.76	120.87	104.2	112.41	125.41	118.05	114.53	121.23	111.71	267.06	140.92	181.69	112.07	124.13	131.92	123.96	114.64	140.97	111.72	115.85	194.83	189.38	132.37	123.94	227.06	116.22	112.82	99.48	139.12	136.76	174.33	137.81	114.81	132.39	130.04	118.26	140.11	136.76	152.38	114.9	113.94	97.81	95.23	136.76
198604	135.35	136.37	128.53	133.56	141.27	128.68	213.22	127.69	165.83	136.43	146	138.87	123.58	103.92	113.04	128.33	119.49	115.15	123.86	110.62	279.8	144.62	190.66	114.54	124.01	134.11	124.55	115.21	142.8	109.32	117.03	205.75	199.24	133.18	123.75	237.2	117.75	111.22	97.8	143.8	138.87	190.64	139.96	117.4	134.32	127.63	118.11	142.46	138.87	158.46	116.06	114.35	100.19	91.26	138.87
198701	132.05	138.56	129.7	137.76	144.92	130.39	225.5	132.6	172.13	137.23	148.36	141.62	127.54	105.36	114.18	130.79	121.26	115.97	125.4	110.69	289.28	148.79	197.97	117.5	126.72	135.95	125.83	110.46	145.48	113.28	117.57	210.98	210.29	134.94	126.3	246.55	119.96	111.18	99.95	148.46	141.62	204.19	142.7	121.24	137.76	127.98	119.49	145.58	141.62	163.74	117.22	115.25	99.5	93.35	141.62
198702	122.73	139.46	131.19	136.64	148.44	128.86	237.93	135.52	176.23	139.22	150.1	143.81	130.6	105.33	112.04	135.49	122.65	117.75	126.8	110.28	296.42	153.07	205.58	121.43	128.92	138.9	125.89	112.69	147.03	110.57	116.95	219.94	221.4	133.87	125.58	255.17	122.4	108.11	100.26	154.49	143.81	215.8	144.1	118.87	140.27	124.22	118.24	149.51	143.81	168.45	118.1	116.59	101.38	88.69	143.81
198703	114.67	140.13	127.94	135.94	153.13	126.02	250.33	139.96	183.8	139.4	151.74	145.44	132.55	105.5	108.62	138.58	124.24	117.32	129.46	104.83	305.53	159.87	215.51	124.07	130.05	140.3	124.07	110.92	149.4	110.77	115.42	222.18	230.05	132.33	124.75	267	124.86	102.36	99.43	162.06	145.44	232.01	144.18	118.29	140.59	119.28	113.93	156.64	145.44	172.36	118.87	118.05	98.81	83.48	145.44
198704	103.59	138.7	124.52	133.35	157.47	124.91	258.21	145.52	188.72	140.36	152.43	146.37	135.33	102.29	108.52	140.56	124.63	116.54	129.78	104.72	307.86	162.2	223.25	126.1	129.15	140.88	122.85	104.89	150.42	110.33	116.19	226.25	235.26	131.07	124.19	270.82	126.07	100.16	98.75	167.62	146.37	241.57	144.81	119.51	142.48	115.65	113.04	160.25	146.37	182.51	119.6	119.43	99.21	79.62	146.37
198801	119.67	142.63	126.99	134.77	163.23	125.8	263.81	154.01	191.45	141.84	154.47	148.66	143.95	104.58	111.47	143.49	127.34	117.33	132.05	101.94	311.09	167.58	227.55	127.92	131.62	140.94	122.02	109.57	151.48	107.61	117.18	225.73	240.43	131	125.23	277.33	128.21	97.74	100.76	171.1	148.66	249.99	147.32	115.8	143.67	115.67	112.94	164.88	148.66	187.01	121.88	120.25	98.9	81.67	148.66
198802	113.69	143.71	127.69	136.17	169.99	125.59	268.17	161.42	196.94	144.74	156.49	151.62	151.39	106.27	112.02	148.04	129.01	118.16	133.16	102.29	316.57	173.59	231.64	131.17	133.42	142.86	123.73	110.39	153.98	108.87	117.89	228.63	246.63	130.4	126.45	280.66	130.94	98.67	101.42	178.19	151.62	253.03	149.43	115.99	144.25	117.53	114.16	170.49	151.62	194.5	123.72	122.17	102.06	77.07	151.62
